Seconds;Area%;Circularity;Vdeshidratacion;Vdeplasmolisi;Survival
200;0,87375106;0,887941;1,05%;0,00%;96,57%
201;0,864711115;0,888711;1,04%;0,00%;96,87%
202;0,862559732;0,88762;0,98%;0,00%;97,10%
203;0,860325604;0,890746;0,93%;0,00%;96,53%
204;0,85492646;0,881665;0,91%;0,00%;96,90%
205;0,849589375;0,88696;0,88%;0,00%;96,93%
206;0,854285182;0,888331;0,81%;0,00%;97,05%
207;0,849816926;0,882563;0,79%;0,00%;96,66%
208;0,842225026;0,893604;0,79%;0,00%;96,65%
209;0,842866304;0,889576;0,75%;0,00%;97,04%
210;0,84174924;0,887261;0,72%;0,00%;97,00%
211;0,843155913;0,882158;0,68%;0,00%;97,01%
212;0,837611965;0,889516;0,68%;0,00%;97,04%
213;0,836825883;0,882072;0,65%;0,00%;96,85%
214;0,835233032;0,88505;0,63%;0,00%;97,04%
215;0,834860677;0,880796;0,61%;0,00%;97,07%
216;0,83279204;0,885201;0,60%;0,00%;96,88%
217;0,835957055;0,88003;0,57%;0,00%;97,41%
218;0,833454004;0,883165;0,56%;0,00%;97,14%
219;0,834240086;0,883998;0,53%;0,00%;96,82%
220;0,832812726;0,884419;0,52%;0,00%;97,21%
221;0,8351296;0,883007;0,50%;0,00%;96,89%
222;0,832523117;0,886857;0,49%;0,00%;97,26%
223;0,828716824;0,882803;0,49%;0,00%;97,35%
224;0,829771829;0,88199;0,47%;0,00%;96,96%
225;0,831219875;0,883529;0,46%;0,00%;97,33%
226;0,829875261;0,884037;0,45%;0,00%;97,24%
227;0,828654765;0,887431;0,00%;0,15%;97,33%
228;0,829875261;0,884037;0,00%;0,00%;97,56%
229;0,834012536;0,881826;0,00%;0,17%;97,14%
230;0,833764299;0,881563;0,00%;0,12%;97,05%
231;0,829771829;0,88473;0,00%;0,00%;97,04%
232;0,830185557;0,88243;0,00%;0,01%;97,07%
233;0,834198713;0,882822;0,00%;0,07%;97,23%
234;0,832130076;0,884497;0,00%;0,03%;97,33%
235;0,833495377;0,882078;0,00%;0,05%;97,33%
236;0,832729981;0,889837;0,00%;0,03%;97,45%
237;0,836950001;0,881076;0,00%;0,08%;97,30%
238;0,832895472;0,883373;0,00%;0,03%;97,60%
239;0,836660392;0,887366;0,00%;0,06%;97,27%
240;0,833143708;0,886379;0,00%;0,03%;97,88%
241;0,83370224;0,886168;0,00%;0,03%;97,47%
242;0,836081173;0,88789;0,00%;0,05%;97,19%
243;0,832068017;0,891899;0,00%;0,02%;97,16%
244;0,837715397;0,883808;0,00%;0,05%;97,48%
245;0,836639705;0,885405;0,00%;0,04%;97,36%
246;0,837653338;0,88842;0,00%;0,05%;97,56%
247;0,840280507;0,886514;0,00%;0,06%;97,52%
248;0,836763824;0,891039;0,00%;0,04%;97,43%
249;0,835605387;0,888191;0,00%;0,03%;97,28%
250;0,837674024;0,89039;0,00%;0,04%;97,16%
251;0,83752922;0,888288;0,00%;0,04%;97,39%
252;0,840508057;0,887557;0,00%;0,05%;97,66%
253;0,840487371;0,889477;0,00%;0,05%;97,55%
254;0,840694235;0,892454;0,00%;0,05%;97,27%
255;0,839928839;0,890833;0,00%;0,04%;97,57%
256;0,839784034;0,888733;0,00%;0,04%;97,62%
257;0,843342091;0,885871;0,00%;0,05%;97,38%
258;0,843755818;0,890181;0,00%;0,05%;97,60%
259;0,843921309;0,889218;0,00%;0,05%;97,59%
260;0,84619681;0,892756;0,00%;0,06%;97,37%
261;0,842721499;0,88909;0,00%;0,04%;97,68%
262;0,842700813;0,889872;0,00%;0,04%;97,73%
263;0,843486895;0,886824;0,00%;0,04%;97,85%
264;0,844335037;0,886915;0,00%;0,05%;97,86%
265;0,845679651;0,894162;0,00%;0,05%;97,39%
266;0,844914255;0,894162;0,00%;0,05%;97,49%
267;0,845472787;0,890048;0,00%;0,05%;97,79%
268;0,84716907;0,891833;0,00%;0,05%;97,80%
269;0,851327031;0,888774;0,00%;0,06%;97,82%
270;0,847996525;0,889957;0,00%;0,05%;98,50%
271;0,855857347;0,891566;0,00%;0,07%;97,85%
272;0,849672121;0,891383;0,00%;0,05%;97,98%
273;0,852051054;0,891465;0,00%;0,06%;97,96%
274;0,85229929;0,89059;0,00%;0,06%;97,91%
275;0,849982417;0,890905;0,00%;0,05%;97,73%
276;0,849113589;0,893881;0,00%;0,05%;97,96%
277;0,850251339;0,893129;0,00%;0,05%;97,66%
